1
2
3
4
5
6
7
1a
1b
1c
1d
1e
1f
1g
2a
2b
2c
2d
2e
2f
2g
3a
3b
3c
3d
3e
3f
3g
4a
4b
4c
4d
4e
4f
4g
5a
5b
5c
5d
5e
5f
5g
6a
6b
6c
6d
6e
6f
6g
7a
7b
7c
7d
7e
7f
7g
